ref,wilfordMatch,scriptureMatch
Luke 23:34,"Father, forgive them; they know not what they do.","Father, forgive them; for they know not what they do."
Matt. 8:12," into outer darkness, where there is weeping and wailing and gnashing of teeth.", into outer darkness: there shall be weeping and gnashing of teeth.
Matt. 22:13," into outer darkness, where there is weeping and wailing and gnashing of teeth.", into outer darkness; there shall be weeping and gnashing of teeth.
Matt. 25:30," into outer darkness, where there is weeping and wailing and gnashing of teeth.", into outer darkness: there shall be weeping and gnashing of teeth.
D&C 101:91," outer darkness, where there is weeping and wailing and gnashing of teeth."," outer darkness, where there is weeping, and wailing, and gnashing of teeth."
D&C 133:73," into outer darkness, where there is weeping and wailing and gnashing of teeth."," into outer darkness, where there is weeping, and wailing, and gnashing of teeth."
Hel. 5:12, upon the rock of , upon the rock of 
D&C 6:34," earth and hell combine against us, they shall not prevail, if we are built upon "," earth and hell combine against you, for if ye are built upon "
D&C 121:35, upon the things of this world, upon the things of this world
1 Jn. 2:15," the things of this world. Any man that loves the world, the love of the Father is not in him."," the things that are in the world. If any man love the world, the love of the Father is not in him."
D&C 76:79, valiant in the testimony of Jesus, valiant in the testimony of Jesus
D&C 88:22, a celestial glory., a celestial glory.
D&C 84:33-40,"covenant of my Father, which he cannot break, neither can it be moved.","covenant of my Father, which he cannot break, neither can it be moved."
Rom. 8:17, heirs of God and joint heirs with ," heirs of God, and joint-heirs with "
1 Cor. 2:9,"rd, neither hath it entered into ","rd, neither have entered into "
Matt. 3:15,l all righteousness.,l all righteousness.
Matt. 12:32,"e forgiveness of sins in this world, nor in the world to come.","e forgiven him, neither in this world, neither in the world to come."
D&C 84:41,"have forgiveness of sins in this world, nor in the world to come.",have forgiveness of sins in this world nor in the world to come.
D&C 101:17,ll not be moved out of her place,ll not be moved out of her place
Matt. 24:6-7," wars and rumors of wars, famines, pestilence, and earthquakes"," wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet.For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes"
A of F 1:11," God according to the dictates of their own conscience,"," God according to the dictates of our own conscience,"
Isa. 29:14, work and a wonder, work and a wonder
D&C 109:73,h out of the wilderness of darkness,h out of the wilderness of darkness
Eph. 2:20,t upon the foundation of Apostles and Prophets with Christ Jesus as the chief corner stone,"t upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone"
Rev. 14:6," to every nation, kindred, tongue and people"," to every nation, and kindred, and tongue, and people"
D&C 45:69, out of every nation under heaven, out of every nation under heaven
D&C 64:42,her out of every nation under heaven,her out of every nation under heaven
Isa. 11:12,ther the dispersed of Judah,ther the dispersed of Judah
Luke 21:24, of the Gentiles, of the Gentiles
Gen. 2:7, the breath of life, the breath of life
Rev. 14:6, the everlasting , the everlasting 
Heb. 5:4,"no man taketh this honor to himself, but he that is called of God, as was Aaron","no man taketh this honour unto himself, but he that is called of God, as was Aaron"
