ref,wilfordMatch,scriptureMatch
Jacob 5:62," the earth, the last time in which the Lord will prune his vineyard"," the end draweth nigh, and this is for the last time that I shall prune my vineyard"
D&C 24:19,,
2 Tim. 3:12, live godly in Christ Jesus must suffer persecution., live godly in Christ Jesus shall suffer persecution.
Eph. 4:9-10,,
D&C 88:6, descended beneath all things," descended below all things, in that he comprehended all things, that he might be in all and through all things"
Matt. 9:32-34, He cast out devils the p, He casteth out devils through the p
Matt. 12:22-24," Beelzebub, the prince of devils", Beelzebub the prince of the devils
John 9:24, the man to “give God the glory: we know this man is a sinner.," the man that was blind, and said unto him, Give God the praise: we know that this man is a sinner."
Eph. 4:9-10,,
D&C 88:6, descend below all things that he might ascend above all things," descended below all things, in that he comprehended all things, that he might be in all and through all things"
D&C 135:3,,
D&C 122:1-6,,
D&C 122:7-9,"therefore, fear not what man can do, for God shall be with you forever and ever.","therefore, fear not what man can do, for God shall be with you forever and ever."
Heb. 11:37," were sawn asunder,"," were sawn asunder,"
Rev. 1:9,,
Rev. 6:9," were sawn asunder, crucified, etc., for the word of God and testimony "," were slain for the word of God, and for the testimony "
Luke 23:34,"Father, forgive them; they know not what they do.","Father, forgive them; for they know not what they do."
Matt. 8:12," into outer darkness, where there is weeping and wailing and gnashing of teeth.", into outer darkness: there shall be weeping and gnashing of teeth.
Matt. 22:13,"o the other world, go into outer darkness, where there is weeping and wailing and gnashing of teeth.","o the servants, Bind him hand and foot, and take him away, and cast him into outer darkness; there shall be weeping and gnashing of teeth."
Matt. 25:30," into outer darkness, where there is weeping and wailing and gnashing of teeth.", into outer darkness: there shall be weeping and gnashing of teeth.
Alma 40:13,,
D&C 101:91," outer darkness, where there is weeping and wailing and gnashing of teeth."," outer darkness, where there is weeping, and wailing, and gnashing of teeth."
D&C 133:73," into outer darkness, where there is weeping and wailing and gnashing of teeth."," into outer darkness, where there is weeping, and wailing, and gnashing of teeth."
D&C 98:14-15,,
D&C 105:14, fighting our battles.," fight the battles of Zion; for, as I said in a former commandment, even so will I fulfil--I will fight your battles."
Hel. 5:12, upon the rock of Christ," upon the rock of our Redeemer, who is Christ"
D&C 6:34," earth and hell combine against us, they shall not prevail, if we are built upon "," earth and hell combine against you, for if ye are built upon "
Obad. 1:21, saviors upon Mount Zion, saviours shall come up on mount Zion
D&C 121:35, heart upon the things of this world, hearts are set so much upon the things of this world
1 Jn. 2:15," the things of this world. Any man that loves the world, the love of the Father is not in him."," the things that are in the world. If any man love the world, the love of the Father is not in him."
D&C 76:79, they were valiant in the testimony of Jesus, they who are not valiant in the testimony of Jesus
D&C 88:22," the law, and they will inherit a celestial glory.", the law of a celestial kingdom cannot abide a celestial glory.
D&C 84:33-40,"covenant of my Father, which he cannot break, neither can it be moved.","covenant of my Father, which he cannot break, neither can it be moved."
Rom. 8:17, heirs of God and joint heirs with Jesus Christ," heirs of God, and joint-heirs with Christ"
1 Cor. 2:9,"rd, neither hath it entered into our hearts to conceive the glory that is in store for the","rd, neither have entered into the heart of man, the things which God hath prepared for the"
D&C 98:14-15,,
Matt. 3:13-17,,
Matt. 3:15," for the remission of sin, but to fulfill all righteousness.", for thus it becometh us to fulfil all righteousness.
D&C 138:52-54,,
D&C 138:57,,
Obad. 1:21,,
Heb. 6:4-6,,
Matt. 12:32,"e forgiveness of sins in this world, nor in the world to come.","e forgiven him, neither in this world, neither in the world to come."
D&C 76:31-38,,
D&C 84:41,"have forgiveness of sins in this world, nor in the world to come.",have forgiveness of sins in this world nor in the world to come.
D&C 97:19,,
D&C 101:17,ll not be moved out of her place,ll not be moved out of her place
1 Ne. 14:15-16,,
D&C 45:26,,
Matt. 24:6-7," wars and rumors of wars, famines, pestilence, and earthquakes"," wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet.For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes"
D&C 43:25,,
D&C 87:6,,
D&C 43:17-35,,
A of F 1:11," worship God according to the dictates of their own conscience,"," worshiping Almighty God according to the dictates of our own conscience,"
John 8:32,"ruth, and truth alone can make ","ruth, and the truth shall make "
Isa. 29:14, work and a wonder, work and a wonder
D&C 5:14,,
D&C 109:73,h out of the wilderness of darkness,h out of the wilderness of darkness
Eph. 2:20,t upon the foundation of Apostles and Prophets with Christ Jesus as the chief corner stone,"t upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone"
Rev. 14:6," preached in plainness and power to every nation, kindred, tongue and people"," preach unto them that dwell on the earth, and to every nation, and kindred, and tongue, and people"
D&C 45:69, gather a people together out of every nation under heaven, gathered unto it out of every nation under heaven
D&C 64:42, people together out of every nation under heaven," people, and there shall come unto her out of every nation under heaven"
Isa. 11:12, nation under heavens and that He will also gather the dispersed of Judah," nations, and shall assemble the outcasts of Israel, and gather together the dispersed of Judah"
Luke 21:24, trodden under the feet of the Gentiles, trodden down of the Gentiles
Gen. 2:7, breathed the breath of life, breathed into his nostrils the breath of life
Rev. 14:6, heavenly messenger to communicate to man the everlasting ," heaven, having the everlasting "
2 Thes. 2:3, that this would be done? Because the “falling away," that day shall not come, except there come a falling away"
John 21:20-24,,
Heb. 5:4,"no man taketh this honor to himself, but he that is called of God, as was Aaron","no man taketh this honour unto himself, but he that is called of God, as was Aaron"
Ex. 28:1,,
Rom. 10:14-15,,
Acts 2:38, shall receive the Holy Ghost., shall receive the gift of the Holy Ghost.
Matt. 3:13-14," baptizing in Jordan, and requested baptism of him. John ", baptized of him.But John 
Matt. 3:15,Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered him.,Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered him.
Acts 13:46, turn to the Gentiles., turn to the Gentiles.
Rom. 11:20-24,,
Rom. 11:25," happened to Israel and which, Paul said, should continue until the fulness of the Gentiles come in"," happened to Israel, until the fulness of the Gentiles be come in"
1 Cor. 12:28,"y teachers, after that miracles, then gifts of healings, helps, governments, diversities of tongues","y teachers, after that miracles, then gifts of healings, helps, governments, diversities of tongues"
Eph. 4:12-13," Christ, for the perfecting of the Saints, until all come to a perfect man in the stature of Christ"," Christ:Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fulness of Christ"
Rev. 14:6,,
D&C 13:1,,
D&C 27:8,,
JS-H 1:68-72,d the keys of the ,d the keys of the 
D&C 27:12,,
Acts 2:38, receive the Holy Ghost, receive the gift of the Holy Ghost
Luke 2:10,to the world of mankind by our Elders who are still proclaiming these glad tidings of great joy,"to them, Fear not: for, behold, I bring you good tidings of great joy"
D&C 31:3,e glad tidings of great joy,e glad tidings of great joy
D&C 79:1, glad tidings of great joy, glad tidings of great joy
John 3:19," that men rejected it formerly, because they love darkness rather than light"," that light is come into the world, and men loved darkness rather than light"
D&C 58:22, until He shall reign whose right it is to reign, until he reigns whose right it is to reign
1 Cor. 9:16," unto me, if I preach not the "," unto me, if I preach not the "
2 Ne. 25:17,is hand to establish His Church and kingdom in the ,is hand again the 
John 15:19," were of the world, the world would love "," were of the world, the world would love "
John 15:18,"f the world, the world would love you as its own. It hated me before it hated you.","f the world hate you, ye know that it hated me before it hated you."
Dan. 2:35, the whole earth., the whole earth.
D&C 65:2,"ingdom, and it will continue to grow and increase until it shall fill the whole earth.","ingdom of God are committed unto man on the earth, and from thence shall the gospel roll forth unto the ends of the earth, as the stone which is cut out of the mountain without hands shall roll forth, until it has filled the whole earth."
John 7:17, shall know for themselves whether this work is of God," shall know of the doctrine, whether it be of God"
D&C 101:80,ed the Constitution of ,ed the Constitution of 
1 Ne. 13:12,,
1 Ne. 13:13,,
A of F 1:11, worship God according to the dictates of his own conscience, worshiping Almighty God according to the dictates of our own conscience
Luke 6:38,,
Matt. 7:2," what measure we mete, shall be measured back to us again."," what measure ye mete, it shall be measured to you again."
Matt. 23:16,,
Matt. 23:24,,
Matt. 15:14,d the result will be that both the people and their guides will fall into the ditch,"d the blind, both shall fall into the ditch"
Luke 6:39,d the result will be that both the people and their guides will fall into the ditch,d the blind? shall they not both fall into the ditch
1 Pet. 4:17-18,,
D&C 112:25-26," have said, they will commence at the House of the Lord"," have not known me, and have blasphemed against me in the midst of my house, saith the Lord"
Gal. 6:7,,
Gen. 2:7,"d the power over the whole world, over every human being who breathes the breath of life","d the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life"
A of F 1:11, worship God according to the dictates of their own conscience, worshiping Almighty God according to the dictates of our own conscience
A of F 1:11, worship God according to the dictates of your own conscience, worshiping Almighty God according to the dictates of our own conscience
Dan. 2:44,,
Isa. 2:3,,
Jer. 3:14,,
Ezek. 48:35," and the other Prophets spoke of, and to build up that ", and the name of the city from that 
Dan. 7:9,,
Joel 2:31,"he sun may be turned to darkness, the moon to blood,","he sun shall be turned into darkness, and the moon into blood,"
D&C 29:14," the moon to blood, the stars may fall from heaven,"," the moon shall be turned into blood, and the stars shall fall from heaven,"
D&C 45:42,", the sun may be turned to darkness, the moon to blood, the stars may fall from heaven",", the sun shall be darkened, and the moon be turned into blood, and the stars fall from heaven"
Rev. 21:1, heaven and earth , heaven and a new earth: for the first heaven and the first earth 
Matt. 5:18,"nd earth itself may pass away, but not one jot or tittle ","nd earth pass, one jot or one tittle "
