ref,wilfordMatch,scriptureMatch
Rev. 14:6,"preach unto them that dwell on the earth, and to every nation, and kindred, and tongue, and people,","preach unto them that dwell on the earth, and to every nation, and kindred, and tongue, and people,"
Gal. 1:12," receive his power from man, but from the revelations of Jesus Christ."," received it of man, neither was I taught it, but by the revelation of Jesus Christ."
John 3:5, enter into the kingdom of , enter into the kingdom of 
D&C 42:17, of the Father and of the Son., of the Father and of the Son.
Moses 1:24," Ghost, it will be unto us as a principle of revelation, a testimony of the Father and of the Son"," Ghost, which beareth record of the Father and the Son"
1 Cor. 12:12-27,,
1 Cor. 12:25,hat there may be no schism,hat there should be no schism
Eph. 4:11-12,"aints, for the work of the ministry, for the edifying of the body of Christ","aints, for the work of the ministry, for the edifying of the body of Christ"
2 Pet. 1:20, that the prophecies of the scriptures are of no private interpretation, that no prophecy of the scripture is of any private interpretation
2 Ne. 5:21,,
Luke 21:24," Jerusalem should be trodden down of the Gentiles, until the times of the Gentiles be fulfilled."," Jerusalem shall be trodden down of the Gentiles, until the times of the Gentiles be fulfilled."
"Luke 23:4,14",,
John 18:38,Pilate was ready to release Jesus because he found no fault ,"Pilate saith unto him, What is truth? And when he had said this, he went out again unto the Jews, and saith unto them, I find in him no fault "
"John 19:4,6",,
John 19:12,,
Luke 23:21,"hey cried out, “Crucify him, crucify him","hey cried, saying, Crucify him, crucify him"
Matt. 27:25,"is blood be upon us, and our children.","is blood be on us, and on our children."
Gen. 49:10, until Shiloh come, until Shiloh come
Gen. 50:24,,
Rom. 11:20,,
Heb. 4:11, lest they fell through the same example of unbelief., lest any man fall after the same example of unbelief.
Rom. 3:3, unbelief of the world does not make the work of the Lord of non-effect, unbelief make the faith of God without effect
Matt. 24:37, the days of Noah and Lot so shall it be at the coming of the Son of ," the days of Noe were, so shall also the coming of the Son of "
Dan. 2:44,,
D&C 88:88-90,,
D&C 87:1-8,,
D&C 130:12-13,,
Matt. 24:30, power and great glory., power and great glory.
D&C 29:11, power and great glory, power and great glory
Matt. 28:19,,
Isa. 60:2,arkness covers the earth and gross darkness the people,"arkness shall cover the earth, and gross darkness the people"
D&C 63:32,he Lord is withdrawing His Spirit from the nations of the earth,"he Lord, am angry with the wicked; I am holding my Spirit from the inhabitants of the earth"
D&C 1:35,,
Gal. 6:7,"hatsoever a man soweth, that shall he also reap.","hatsoever a man soweth, that shall he also reap."
Matt. 7:2," shall he also reap.” “With what measure ye mete, it shall be measured to you"," shall be judged: and with what measure ye mete, it shall be measured to you"
Isa. 11:9, the earth like the waters ," the earth shall be full of the knowledge of the LORD, as the waters "
Isa. 13:10, the sun and the moon ," the sun shall be darkened in his going forth, and the moon "
Joel 2:10, the sun and the moon will be dark, the sun and the moon shall be dark
Joel 3:15,he sun and the moon will be darkened,he sun and the moon shall be darkened
Matt. 24:29, the sun and the moon will be ," the sun be darkened, and the moon shall not give her light, and the stars shall fall from heaven, and the powers of the heavens shall be "
D&C 29:14,,
D&C 101:80,,
Dan. 3:1-30, Nebuchadnezzar , Nebuchadnezzar 
Dan. 6:1-28,,
Jonah 1:1-17,,
Jonah 2:1-10,,
Rev. 1:9," tribulation they were called to pass through for the word of God, and the testimony of Jesus"," tribulation, and in the kingdom and patience of Jesus Christ, was in the isle that is called Patmos, for the word of God, and for the testimony of Jesus"
Rev. 6:9," were called to pass through for the word of God, and the testimony "," were slain for the word of God, and for the testimony "
2 Pet. 1:21,y men who have spoken as they were moved upon by the Holy Ghost,y men of God spake as they were moved by the Holy Ghost
Matt. 5:18," heavens and the earth pass away, not one jot or tittle which will fall unfulfilled."," heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
Matt. 24:35," earth pass away, "," earth shall pass away, "
D&C 1:38,,
D&C 76:1-119,,
Isa. 54:17,,
Isa. 52:10,,
Matt. 24:30,,
Matt. 10:28," kill the body, but fear God who hath power to cast both body and soul into hell."," kill the body, but are not able to kill the soul: but rather fear him which is able to destroy both soul and body in hell."
Heb. 11:40, that they are not neither can they be made perfect, that they without us should not be made perfect
"D&C 128:15,18",,
Ps. 19:13,"ve dominion over me: then shall I be upright, and I shall be innocent from the great transgression.","ve dominion over me: then shall I be upright, and I shall be innocent from the great transgression."
Dan. 3:1-30, Nebuchadnezzar , Nebuchadnezzar 
Dan. 6:1-28,,
Jonah 1:1-17,,
Jonah 2:1-10,,
Rev. 1:9," tribulation they were called to pass through for the word of God, and the testimony of Jesus"," tribulation, and in the kingdom and patience of Jesus Christ, was in the isle that is called Patmos, for the word of God, and for the testimony of Jesus"
Rev. 6:9," were called to pass through for the word of God, and the testimony "," were slain for the word of God, and for the testimony "
2 Pet. 1:21,y men who have spoken as they were moved upon by the Holy Ghost,y men of God spake as they were moved by the Holy Ghost
Matt. 5:18," heavens and the earth pass away, not one jot or tittle which will fall unfulfilled."," heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
Matt. 24:35," earth pass away, "," earth shall pass away, "
D&C 1:38,,
D&C 76:1-119,,
Isa. 54:17,,
Isa. 52:10,,
Matt. 24:30,,
Matt. 10:28," kill the body, but fear God who hath power to cast both body and soul into hell."," kill the body, but are not able to kill the soul: but rather fear him which is able to destroy both soul and body in hell."
Heb. 11:40, that they are not neither can they be made perfect, that they without us should not be made perfect
"D&C 128:15,18",,
Ps. 19:13,"ve dominion over me: then shall I be upright, and I shall be innocent from the great transgression.","ve dominion over me: then shall I be upright, and I shall be innocent from the great transgression."
D&C 68:7,,
D&C 68:1,,
D&C 68:3, they should speak as they were moved upon by the Holy Ghost, they shall speak as they are moved upon by the Holy Ghost
D&C 42:14," Spirit to direct them, they were told not to teach.", Spirit shall be given unto you by the prayer of faith; and if ye receive not the Spirit ye shall not teach.
D&C 68:4,,
D&C 107:2-4,,
2 Pet. 1:8, be barren or unfruitful, be barren nor unfruitful
Num. 11:29, would to God that all were prophets, would God that all the LORD's people were prophets
Rev. 19:10,,
1 Kgs. 19:12, still small voice, still small voice
1 Ne. 17:45,,
D&C 85:6, the still small voice, the still small voice
Isa. 8:16, up the testimony, up the testimony
Dan. 2:35, the whole earth., the whole earth.
D&C 65:2,"n the earth, which is destined to become a great kingdom and fill the whole earth.","n the earth, and from thence shall the gospel roll forth unto the ends of the earth, as the stone which is cut out of the mountain without hands shall roll forth, until it has filled the whole earth."
D&C 109:72, become a great , become a great 
Matt. 5:15," light is not under a bushel,"," light a candle, and put it under a bushel,"
Luke 11:33," light is not under a bushel,"," lighted a candle, putteth it in a secret place, neither under a bushel,"
Deut. 28:25,,
Deut. 28:15-68,,
Deut. 29:18-29,,
Isa. 53:3,,
Deut. 28:64,,
Amos 9:9,", and then they would be scattered as corn is sifted in a sieve,",", and I will sift the house of Israel among all nations, like as corn is sifted in a sieve,"
Deut. 30:3-4,,
Gen. 49:10," shall rebuild, your temple and city, and you shall be delivered by Shiloh "," shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh "
Gen. 50:24,", and you shall rebuild, your temple and city, and ",", and bring you out of this land unto the land which he sware to Abraham, to Isaac, and "
D&C 133:26-30,"; and their records, and ","; and their prophets shall hear his voice, and "
Isa. 42:7,", and the feelings of the millions of the human family who are shut up in their prison house",", and them that sit in darkness out of the prison house"
Dan. 2:44,,
Matt. 24:30,,
Isa. 49:13-15,"hould not have compassion on the son of her womb? yea, they may forget, yet will I not forget thee.","hould not have compassion on the son of her womb? yea, they may forget, yet will I not forget thee."
3 Ne. 29:2, of the Lord all things spoken by the prophets will be literally fulfilled," of the Lord, which have been spoken by the holy prophets, shall all be fulfilled"
3 Ne. 11:29,,
Mosiah 27:9,,
Matt. 12:25,", and we certainly should not divide one against ",", and said unto them, Every kingdom divided against "
Jer. 1:4-5,,
D&C 135:3,,
D&C 121:1-46,,
D&C 122:1-9,,
D&C 123:1-17,,
Gen. 18:23,,
D&C 124:123,,
D&C 84:42,,
D&C 121:34-40,,
Luke 14:5, ox falls into a pit get him out," ox fallen into a pit, and will not straightway pull him out"
Ex. 20:8,,
Heb. 12:23," heavenly Father, and the heavenly hosts, and the justified spirits made perfect,"," heaven, and to God the Judge of all, and to the spirits of just men made perfect,"
Ex. 19:6," a kingdom of priests,"," a kingdom of priests,"
Isa. 54:17,,
Isa. 49:13,"nging, O mountains: for the Lord hath comforted his people, and will have mercy upon his afflicted.","nging, O mountains: for the LORD hath comforted his people, and will have mercy upon his afflicted."
Isa. 49:15," have compassion on the son of her womb? yea, they  [p.192a]may forget, yet will I not forget thee."," have compassion on the son of her womb? yea, they may forget, yet will I not forget thee."
Isa. 54:17,,
Dan. 2:44,,
Dan. 2:45,,
Dan. 2:34-35,,
D&C 65:2,,
John 15:19,the work of God. Why? Because we have been chosen out of the world and therefore the world hate,"the world, the world would love his own: but because ye are not of the world, but I have chosen you out of the world, therefore the world hate"
Luke 22:35, without purse or scrip," without purse, and scrip"
D&C 24:18,,
"D&C 84:78,86",,
1 Cor. 1:27, of the world. The Lord Almighty chose the weak things of this world, of the world to confound the wise; and God hath chosen the weak things of the world
D&C 1:19,he weak things of this world,he weak things of the world
D&C 35:13, the weak things of this world, the weak things of the world
D&C 124:1,,
D&C 133:59, the weak things of th, the weak things of th
JS-H 1:30-54,,
JS-H 1:68-72,,
JS-H 1:16-20,,
D&C 27:12,,
D&C 110:1-16,,
Ps. 40:2,,
Isa. 51:1, the hand of God. From out of the pit , the hole of the pit 
Isa. 54:17,,
D&C 90:36-37,,
D&C 103:13,,
D&C 135:3,,
Heb. 9:16-17, of the testator, of the testator
D&C 63:33, decreed that the wicked shall slay the wicked," decreed wars upon the face of the earth, and the wicked shall slay the wicked"
D&C 63:33, upon to slay the wicked. The wicked will slay the wicked," upon the face of the earth, and the wicked shall slay the wicked"
Ezek. 13:1-23,,
3 Ne. 19:1-36,,
3 Ne. 20:1-46,,
3 Ne. 21:1-29,,
3 Ne. 22:1-17,,
3 Ne. 23:1-14,,
3 Ne. 24:1-18,,
3 Ne. 25:1-6,,
3 Ne. 26:1-5,,
Matt. 24:36-37, of the earth. The Lord did not [p.195b] reveal the day of the coming of the Son of ," of that day and hour knoweth no man, no, not the angels of heaven, but my Father only.But as the days of Noe were, so shall also the coming of the Son of "
D&C 84:2-5,,
John 15:26, the Father and the S," the Father, even the S"
3 Ne. 28:11," the Holy Ghost, the testimony of the Father and ", the Holy Ghost beareth record of the Father and 
D&C 20:27," the Holy Ghost, the testimony of the Father and the Son"," the Holy Ghost, which beareth record of the Father and of the Son"
D&C 42:17,", the testimony of the Father and the Son.",", the Comforter knoweth all things, and beareth record of the Father and of the Son."
Moses 1:24,"Ghost, the testimony of the Father and the Son","Ghost, which beareth record of the Father and the Son"
1 Kgs. 19:12, still small voice., still small voice.
D&C 85:6,the still small voice,the still small voice
Gal. 1:12, the revelations of Jesus Christ, the revelation of Jesus Christ
1 Kgs. 19:12, still small voice, still small voice
D&C 85:6, the still small voice, the still small voice
D&C 103:13,,
D&C 101:75,,
Dan. 2:44,,
Isa. 52:1, put on her beautiful garments," put on thy strength, O Zion; put on thy beautiful garments"
Moro. 10:31,,
D&C 82:14, increase. Zion will arise and put on her beautiful garments.," increase in beauty, and in holiness; her borders must be enlarged; her stakes must be strengthened; yea, verily I say unto you, Zion must arise and put on her beautiful garments."
D&C 113:7-8,,
Matt. 26:41,,
Luke 21:36,,
Alma 13:28,,
D&C 88:105,ll sound the sixth ,"ll sound his trump, which is the sixth "
D&C 130:5,,
Ezek. 12:21-28,,
Heb. 7:3, without beginning of days or end of ," without mother, without descent, having neither beginning of days, nor end of "
"Alma 13:7,9",,
D&C 84:17," priesthood, which is without beginning of days or end of years."," priesthood continueth in the church of God in all generations, and is without beginning of days or end of years."
Moses 1:3, without beginning of days or end of years, without beginning of days or end of years
Heb. 5:4, is called of God as was Aaron," is called of God, as was Aaron"
Ezek. 9:1-11,,
Ezek. 14:1-23,,
Ezek. 33:1-33,,
Eph. 1:10," dispensation, the fulness of times", dispensation of the fulness of times
Dan. 2:44-45,,
Ezek. 37:15-20, the stick of Judah as well as in the stick of J," the stick of Joseph, which is in the hand of Ephraim, and the tribes of Israel his fellows, and will put them with him, even with the stick of J"
Heb. 12:23," heavenly hosts, before all justified spirits made perfect"," heaven, and to God the Judge of all, and to the spirits of just men made perfect"
D&C 76:69,"re the heavenly hosts, before all justified spirits made perfect",re they who are just men made perfect
D&C 129:3, spirits made perfect, spirits of just men made perfect
2 Ne. 28:21,,
Isa. 2:2,that the mountain of the Lord's house shall be established in the tops of the mountains,that the mountain of the LORD's house shall be established in the top of the mountains
Gen. 49:26,,
D&C 98:14," things, whether we would abide in his covenant even unto death, that we might be found worthy."," things, whether you will abide in my covenant, even unto death, that you may be found worthy."
D&C 135:3,,
D&C 135:5,,
Heb. 9:16-17,,
D&C 1:38,,
Matt. 24:37, the days of Noah so shall also the coming of the Son of Man be.," the days of Noe were, so shall also the coming of the Son of man be."
Isa. 62:6, watchmen upon the walls, watchmen upon thy walls
D&C 84:85,,
Isa. 60:2, darkness covers the whole earth and gross darkness the people," darkness shall cover the earth, and gross darkness the people"
Matt. 24:30, in the clouds of heaven with power and great glory., in the clouds of heaven with power and great glory.
3 Ne. 19:1-36,,
3 Ne. 20:1-46,,
3 Ne. 21:1-29,,
3 Ne. 22:1-17,,
3 Ne. 23:1-14,,
3 Ne. 24:1-18,,
3 Ne. 25:1-6,,
3 Ne. 26:1-5,,
2 Pet. 1:20-21,not in old time by the will of man: but holy men of God spake as they were moved by the Holy Ghost.,not in old time by the will of man: but holy men of God spake as they were moved by the Holy Ghost.
Isa. 29:14, proceed to do a marvelous work a, proceed to do a marvellous work a
JS-H 1:17,,
D&C 13:1,,
D&C 27:8,,
JS-H 1:68-72,,
Matt. 14:10,,
D&C 27:12,,
Rev. 6:9, were also put to death for the word and testimony ," were slain for the word of God, and for the testimony "
1 Cor. 12:28," apostles, prophets, teachers, gifts, helps, governments,"," apostles, secondarily prophets, thirdly teachers, after that miracles, then gifts of healings, helps, governments,"
D&C 35:6," baptism for the remission of sins, the laying of hands for the reception of the Holy Ghost"," baptize by water, and they shall receive the Holy Ghost"
D&C 49:13-14,,
D&C 53:3," remission of sins, the laying of hands for the reception of the Holy "," remission of sins, according to my word, and the reception of the Holy "
D&C 1:30,,
Dan. 2:44,,
Dan. 2:35, the whole earth., the whole earth.
D&C 65:2,"ingdom that Daniel saw, and it will continue to roll forth until it fills the whole earth.","ingdom of God are committed unto man on the earth, and from thence shall the gospel roll forth unto the ends of the earth, as the stone which is cut out of the mountain without hands shall roll forth, until it has filled the whole earth."
Isa. 60:12, the nation and kingdom that will not serve him shall perish and be utterly wasted," the nation and kingdom that will not serve thee shall perish; yea, those nations shall be utterly wasted"
Rev. 12:4,,
Isa. 14:12," heavenly host was cast down to the earth with Lucifer, son of the morning"," heaven, O Lucifer, son of the morning"
Rev. 13:7, to overthrow all the Saints and t," to overcome them: and power was given him over all kindreds, and t"
D&C 76:29,,
Matt. 4:1-10, the Saints and the kingdom of God. They even tried to overthrow Jesus ," the Son of God, command that these stones be made bread.But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple,And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone.Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God.Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them;And saith unto him, All these things will I give thee, if thou wilt fall down and worship me.Then saith Jesus "
John 13:27,,
D&C 109:24,", and they have succeeded in overthrowing a good many Latter-day Saints, who had a name and standing",", and honorably hold a name and standing"
D&C 121:37,,
Rev. 2:10,,
D&C 135:3,,
D&C 136:39," death, whether called to seal their testimony with their blood", death; but it was needful that he should seal his testimony with his blood
Matt. 25:1-12,"s, saying, Lord, Lord, open to us. But he answered and said, Verily I say unto you, I know you not.","s, saying, Lord, Lord, open to us.But he answered and said, Verily I say unto you, I know you not."
D&C 45:56-57,,
Gen. 25:34, and women who will not sell their birthright, and went his way: thus Esau despised his birthright
3 Ne. 27:32,,
D&C 76:79,hese are those that will be valiant in the testimony of Jesus,hese are they who are not valiant in the testimony of Jesus
Matt. 25:7,,
D&C 33:17,,
D&C 1:38,,
D&C 29:30,,
Matt. 24:33,,
Mark 13:24-29,,
D&C 110:16," the Lord lives, his word will be fulfilled. The coming of Jesus is nigh at the door"," the Lord is near, even at the door"
Ezek. 14:14," were in the land, they could not do more than deliver their own souls by their righteousness"," were in it, they should deliver but their own souls by their righteousness"
Ezek. 33:12,,
Dan. 6:1-28, the Medes and Persians, the Medes and Persians
Isa. 3:1-8,,
Jer. 7:34,,
Jer. 26:18,,
D&C 87:6,,
JS-H 1:45,,
D&C 135:3,,
Job 1:21,,
2 Cor. 5:10," appear in the presence of God, and there receive our reward for the deeds done in ", appear before the judgment seat of Christ; that every one may receive the things done in 
John 9:4,,
Heb. 11:1-40,,
James 1:5-6,,
D&C 8:11,,
Heb. 11:7,,
Heb. 9:16-17,"he testator is dead, but his testament is in force ",he testator.For a testament is of force 
Isa. 55:1, without money and without , without money and without 
D&C 63:37,,
2 Cor. 5:7, walk by faith and not by sight," walk by faith, not by sight"
Rev. 1:1,"tion of the world, and foretell what must shortly ","tion of Jesus Christ, which God gave unto him, to shew unto his servants things which must shortly "
2 Pet. 1:21, of mankind. These predictions were uttered by holy men as they were moved upon by the Holy Ghost, of man: but holy men of God spake as they were moved by the Holy Ghost
Matt. 5:18, one jot or tittle of their words will fail in their fulfill," one jot or one tittle shall in no wise pass from the law, till all be fulfill"
Gen. 49:10,,
Gen. 50:24,,
Isa. 53:3," a man who should know sorrow, and who should be acquainted with grief"," a man of sorrows, and acquainted with grief"
Ex. 28:30,,
Ex. 28:4,,
Luke 21:24, of the Gentiles , of the Gentiles 
Deut. 28:15-68,,
Jer. 50:1-3,,
Jer. 51:1-64,,
Rev. 18:21,,
2 Cor. 5:10,e judged according to th,"e judgment seat of Christ; that every one may receive the things done in his body, according to th"
Gen. 49:26,,
Isa. 35:1,; and his seed have yet to make this western desert to blossom as the rose,"; and the desert shall rejoice, and blossom as the rose"
Isa. 60:13,"the fir tree, the pine tree, and the box together, to beautify the place of my sanctuary","the fir tree, the pine tree, and the box together, to beautify the place of my sanctuary"
Isa. 52:1, put on her beautiful garments," put on thy strength, O Zion; put on thy beautiful garments"
Moro. 10:31,,
D&C 82:14," Zion so often spoken of in holy writ, has got to arise and put on her beautiful garments"," Zion must increase in beauty, and in holiness; her borders must be enlarged; her stakes must be strengthened; yea, verily I say unto you, Zion must arise and put on her beautiful garments"
Isa. 60:3,"the Gentiles shall come to thy light, and kings to the brightness of thy rising.","the Gentiles shall come to thy light, and kings to the brightness of thy rising."
D&C 109:45," by the preaching of the servant of God, and his judgments"," by the mouth of thy prophets terrible things concerning the wicked, in the last days--that thou wilt pour out thy judgments"
Rev. 16:1-21,,
1 Cor. 12:28," prophets, apostles, pastors, teachers, helps and government"," prophets, thirdly teachers, after that miracles, then gifts of healings, helps, government"
Eph. 4:11,", apostles, pastors, teachers",", apostles; and some, prophets; and some, evangelists; and some, pastors and teachers"
Heb. 13:8," the same yesterday, today, and for"," the same yesterday, and to day, and for"
Morm. 9:9," is the same yesterday, today, and forever,"," is the same yesterday, today, and forever,"
D&C 20:12," is the same yesterday, today, and forever"," is the same God yesterday, today,and forever"
Rom. 6:4," buried in water, by one having authority of God, that you may rise in newness of life"," buried with him by baptism into death: that like as Christ was raised up from the dead by the glory of the Father, even so we also should walk in newness of life"
A of F 1:4,aying on of hands,aying on of hands
D&C 33:15, by the laying on of , by the laying on of 
John 3:5,"e born of the water and the Spirit, you can enter into the Kingdom of God","e born of water and of the Spirit, he cannot enter into the kingdom of God"
John 3:3,"nto the Kingdom of God, and being born of the Spirit, you can see the Kingdom of God.","nto thee, Except a man be born again, he cannot see the kingdom of God."
D&C 20:27, the Holy Ghost never deceives anybody. It bears record of the Father and the Son," the Holy Ghost, which beareth record of the Father and of the Son"
Moses 1:24,,
1 Cor. 12:28," apostles, pastors, teachers, helps and governments"," apostles, secondarily prophets, thirdly teachers, after that miracles, then gifts of healings, helps, governments"
Eph. 4:11," prophets and apostles, pastors, teachers"," prophets; and some, evangelists; and some, pastors and teachers"
D&C 84:19-21,,
Heb. 5:4,"his holy house, neither has any man a right to that Priesthood save he be called of God as was Aaron","his honour unto himself, but he that is called of God, as was Aaron"
Ex. 28:1,,
Heb. 7:3,"Without father, without mother, without descent, having neither beginning of days, nor end of life","Without father, without mother, without descent, having neither beginning of days, nor end of life"
2 Cor. 2:16, the savor of life unto life, the savour of death unto death; and to the other the savour of life unto life
Mark 16:16,,
Luke 7:30, rejected Him who sent them and consequently brought upon themselves, rejected the counsel of God against themselves
3 Ne. 28:34,,
D&C 49:5,,
D&C 99:4," rejecting them, rejected Him who sent them", rejecteth you shall be rejected of my Father and his house; and you shall cleanse your feet in the secret places by the way for a testimony against them
John 3:19, come into the world; but men love darkness rather than light because their deeds are evil.," come into the world, and men loved darkness rather than light, because their deeds were evil."
Dan. 2:44,,
Isa. 2:2-4,,
Eph. 1:10, gather together all things which are in heaven and on earth which are ," gather together in one all things in Christ, both which are in heaven, and which are "
Matt. 24:33, is near at the door," is near, even at the door"
D&C 110:16," of the Son of Man, which is near at the door"," of the Lord is near, even at the door"
Matt. 24:36,,
D&C 49:7,t the door. No man knows the day or the ,"t the hour and the day no man knoweth, neither the "
Matt. 24:32,,
Luke 21:29-31,,
D&C 35:16,,
Rev. 16:19,", and great  [p.361a]changes are near at hand. Great Babylon is coming in remembrance before God,",", and the cities of the nations fell: and great Babylon came in remembrance before God,"
Matt. 12:39,ed and an adulterous generation,"ed and said unto them, An evil and adulterous generation"
Matt. 16:4, wicked and an adulterous generation, wicked and adulterous generation
Moses 7:48,,
Rev. 14:15,,
Rev. 15:6,,
Rev. 16:1,emple for the time to come when they will be called upon to go forth and reap down the earth.,"emple saying to the seven angels, Go your ways, and pour out the vials of the wrath of God upon the earth."
D&C 38:12,,
D&C 86:5, forth and reap down the , forth to reap down the 
Isa. 66:16," all flesh, and as the prophet has said respecting this event, “the slain of the Lord will be many", all flesh: and the slain of the LORD shall be many
Matt. 24:44,,
D&C 45:2,ll overtake the world in an hour when ,ll overtake you; in an hour when 
1 Thes. 5:3,"r when they expect them not, when they ","r when they shall say, Peace and safety; then sudden destruction cometh upon them, as travail upon a woman with child; and they "
Morm. 4:5,,
3 Ne. 17:3,,
2 Cor. 5:10,e judged according to th,"e judgment seat of Christ; that every one may receive the things done in his body, according to th"
Eph. 1:21,,
2 Tim. 2:19, the name of Christ, the name of Christ
Mosiah 18:29," walk uprightly before God,"," walk uprightly before God,"
Matt. 13:22, the cares and things of this world to choke ," the care of this world, and the deceitfulness of riches, choke "
Heb. 6:5," have “tasted the good word of God, and the powers of the world to come"," have tasted the good word of God, and the powers of the world to come"
Luke 12:47,"'s will,” and if we do it not we will be “beaten with many stripes.","'s will, and prepared not himself, neither did according to his will, shall be beaten with many stripes."
Matt. 3:13,to Jordan to be baptized of ,"to Jordan unto John, to be baptized of "
Matt. 3:15, to be baptized of John? To fulfil all righteousness., to be so now: for thus it becometh us to fulfil all righteousness.
John 3:5, enter into the kingdom of God, enter into the kingdom of God
John 14:6,Jesus performed that act that he might set the example; he was the way,"Jesus saith unto him, I am the way"
Matt. 21:51-52,,
Acts 2:38, receive the Holy Ghost, receive the gift of the Holy Ghost
D&C 76:112," where God and Christ dwell, worlds without end"," where God and Christ dwell they cannot come, worlds without end"
Moses 7:20,,
Isa. 60:12," kingdom that will not serve thee shall perish; yea, those nations shall be utterly wasted."," kingdom that will not serve thee shall perish; yea, those nations shall be utterly wasted."
D&C 27:12,,
D&C 110:11,,
D&C 110:13-16,,
D&C 110:15,"turn the hearts of the fathers to the children, and the heart of the children to the fathers,","turn the hearts of the fathers to the children, and the children to the fathers,"
Mal. 4:6,"rt of the children to the fathers,","rt of the children to their fathers,"
D&C 13:1,,
D&C 27:8,,
JS-H 1:68-72,d the keys of the Aaronic Priesthood ,d the keys of the Priesthood 
D&C 135:3,,
1 Ne. 10:19,,
D&C 3:2,,
D&C 35:1, one eternal round, one eternal round
Isa. 2:2, of the mountains, of the mountains
Dan. 2:44,,
D&C 87:1-8,,
D&C 130:12-13,,
Isa. 61:10,,
D&C 109:74,,
D&C 133:10,,
1 Cor. 15:22,"n Adam all died, so in Christ shall all be made alive.","n Adam all die, even so in Christ shall all be made alive."
Isa. 66:8,,
1 Thes. 5:2,selves for that event when Jesus shall come as a thief in the night.,selves know perfectly that the day of the Lord so cometh as a thief in the night.
2 Pet. 3:10,,
D&C 106:4, as a thief in the night, as a thief in the night
Rom. 1:16,med of the gospel of Christ: for it is the power of God unto salvation to every one that believeth,med of the gospel of Christ: for it is the power of God unto salvation to every one that believeth
2 Pet. 1:21,t holy men of old wrote and spoke as they were moved upon by the Holy Ghost,t holy men of God spake as they were moved by the Holy Ghost
2 Pet. 1:20,that no prophecy of the scripture is of any private interpretation.,that no prophecy of the scripture is of any private interpretation.
D&C 1:38,,
D&C 68:4," they are moved upon by the Holy Ghost, it is all the same, the mind and will of God"," they shall speak when moved upon by the Holy Ghost shall be scripture, shall be the will of the Lord, shall be the mind of the Lord, shall be the word of the Lord, shall be the voice of the Lord, and the power of God"
Matt. 24:35," earth pass away, my words "," earth shall pass away, but my words "
D&C 56:11,"though the heavens and the earth pass away, my words would not fall unfulfilled.","though the heaven and the earth pass away, these words shall not pass away, but shall be fulfilled."
Ezek. 37:15-20,,
Ps. 102:13, the set time has come," the set time, is come"
D&C 124:6, the set time has come for him to favor , the set time has come to favor 
1 Cor. 1:27," chose the weak things of the earth, and them he will use to confound the ", chosen the foolish things of the world to confound the wise; and God hath chosen the weak things of the world to confound the 
D&C 133:58," the weak things of the earth, and the"," the weak shall confound the wise, and the"
JS-H 1:17,,
JS-H 1:30-33,,
Rev. 14:6," angel to him on several occasions, in fulfillment of the revelation to John the ", angel fly in the 
Isa. 29:14,,
John 8:38-59,,
John 3:19,", that he was hated by them because he testified of their works which were evil.",", that light is come into the world, and men loved darkness rather than light, because their deeds were evil."
Matt. 10:25," the men who, in this respect, have not been more "," the master of the house Beelzebub, how much more "
John 15:20,,
John 3:19," the world, and because men choose darkness rather than light, their deeds "," the world, and men loved darkness rather than light, because their deeds "
D&C 20:1,,
John 3:3,"Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.","Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God."
Dan. 2:44,,
Dan. 7:27,,
Dan. 7:18," the kingdom is to be given to the Saints of the [p.226b] Most High, to possess it forever and ever."," the kingdom for ever, even for ever and ever."
Mark 9:30-32,,
Luke 9:43-45,,
Luke 18:31-34,,
Luke 24:6-8,,
John 2:18-22,,
John 12:16, when he told them he was g, when Jesus was g
John 16:7," that if he did not leave them, the Comforter could not come"," that I go away: for if I go not away, the Comforter will not come"
Matt. 4:19,"to their nets, that instead of pursuing the high calling of “fishers of men","to them, Follow me, and I will make you fishers of men"
John 21:3,,
Heb. 9:16-17,,
D&C 135:3,,
1 Pet. 3:18-19,,
1 Pet. 4:6, be judged according to men in the flesh, be judged according to men in the flesh
Acts 10:34,d is no respecter of persons,d is no respecter of persons
1 Cor. 15:29,"ch are baptized for the dead, if the dead rise not at all? why are they then baptized for the dead?","ch are baptized for the dead, if the dead rise not at all? why are they then baptized for the dead?"
Isa. 52:1,,
D&C 82:14," Zion arises in beauty, and "," Zion must increase in beauty, and "
Luke 22:35," without purse or scrip,"," without purse, and scrip,"
Luke 22:35,"nto the world and preach the Gospel, traveling from place to place on foot, without purse or scrip,","nto them, When I sent you without purse, and scrip,"
